Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days
49,technician,single,university.degree,no,unknown,no,Cell,1,999
33,blue-collar,married,basic.9y,no,no,unknown,Telephone,1,999
53,blue-collar,married,basic.9y,no,unknown,unknown,Cell,2,999
32,technician,married,professional.course,no,unknown,no,Cell,7,999
37,admin.,single,university.degree,no,unknown,no,Cell,1,999
56,admin.,married,high.school,no,unknown,no,Telephone,1,999
40,technician,divorced,professional.course,no,no,unknown,Cell,4,999
37,technician,single,professional.course,no,unknown,no,Telephone,2,999
36,admin.,divorced,high.school,no,unknown,yes,Telephone,1,999
32,management,single,university.degree,no,unknown,no,Cell,2,3
30,management,single,university.degree,no,unknown,no,Telephone,1,999
37,unemployed,married,high.school,no,unknown,no,Telephone,1,999
32,admin.,single,high.school,no,unknown,no,Cell,2,999
29,technician,single,professional.course,no,unknown,no,Cell,3,999
33,admin.,married,high.school,no,yes,no,Cell,6,999
43,entrepreneur,married,high.school,no,no,no,Cell,1,999
37,entrepreneur,divorced,university.degree,no,unknown,yes,Cell,3,999
42,blue-collar,married,basic.6y,no,unknown,unknown,Cell,6,999
38,services,married,high.school,no,unknown,no,Cell,1,999
47,admin.,married,basic.9y,no,unknown,no,Cell,1,999
33,services,single,high.school,no,yes,no,Cell,2,999
42,blue-collar,married,professional.course,no,yes,no,Cell,3,999
37,entrepreneur,married,university.degree,no,yes,no,Telephone,1,999
38,blue-collar,single,university.degree,no,no,no,Cell,1,999
51,unemployed,married,professional.course,no,unknown,no,Telephone,2,999
47,services,married,high.school,no,unknown,yes,Telephone,11,999
39,admin.,married,high.school,no,unknown,no,Cell,6,999
43,technician,single,professional.course,no,unknown,no,Cell,3,999
42,services,single,high.school,no,yes,no,Cell,2,999
54,admin.,divorced,high.school,no,unknown,no,Cell,2,4
60,retired,married,high.school,no,unknown,yes,Cell,2,999
26,admin.,married,high.school,no,no,no,Telephone,2,999
30,admin.,single,university.degree,no,no,no,Telephone,1,999
43,retired,married,basic.9y,no,no,unknown,Telephone,9,999
56,technician,married,professional.course,no,yes,no,Cell,3,999
52,retired,married,basic.4y,no,no,yes,Telephone,3,999
25,technician,single,professional.course,no,yes,no,Cell,4,999
53,blue-collar,married,basic.4y,no,no,yes,Cell,2,999
31,technician,single,university.degree,no,unknown,yes,Cell,3,999
25,self-employed,divorced,university.degree,no,unknown,no,Cell,1,999
26,technician,single,professional.course,no,unknown,no,Telephone,3,999
37,technician,single,university.degree,no,unknown,no,Cell,3,999
35,technician,married,university.degree,no,no,no,Cell,1,999
36,admin.,single,high.school,no,no,no,Cell,1,999
37,admin.,married,high.school,no,no,no,Telephone,2,999
56,blue-collar,married,basic.4y,no,yes,no,Cell,5,999
55,housemaid,married,basic.4y,no,yes,no,Cell,1,999
42,entrepreneur,married,high.school,no,unknown,no,Cell,1,999
39,housemaid,married,university.degree,no,no,no,Telephone,4,999
35,blue-collar,married,basic.6y,no,yes,no,Cell,1,999
40,management,married,high.school,no,yes,yes,Cell,1,999
37,admin.,married,university.degree,no,yes,yes,Cell,7,999
41,admin.,married,professional.course,no,unknown,no,Telephone,12,999
25,student,single,university.degree,no,unknown,yes,Cell,2,999
40,admin.,married,high.school,no,no,no,Telephone,3,999
36,admin.,single,university.degree,no,unknown,yes,Cell,7,999
31,student,single,university.degree,no,unknown,no,Cell,4,6
37,admin.,single,university.degree,no,unknown,no,Cell,3,999
31,blue-collar,married,basic.9y,no,unknown,yes,Telephone,2,999
30,services,married,high.school,no,yes,unknown,Telephone,2,999
40,technician,married,university.degree,no,yes,no,Cell,3,999
36,unemployed,single,university.degree,no,unknown,no,Cell,4,999
53,blue-collar,married,basic.6y,no,unknown,no,Cell,5,999
34,services,married,high.school,no,yes,unknown,Telephone,1,999
33,blue-collar,married,basic.6y,no,unknown,no,Telephone,1,999
24,services,single,basic.9y,no,unknown,no,Cell,1,999
83,retired,divorced,basic.4y,no,unknown,no,Cell,3,999
22,blue-collar,married,basic.9y,no,yes,no,Cell,1,999
36,blue-collar,married,basic.9y,no,unknown,no,Telephone,2,999
56,technician,divorced,professional.course,no,yes,no,Cell,2,999
35,management,married,university.degree,no,no,yes,Telephone,5,999
39,blue-collar,married,basic.9y,no,yes,no,Cell,4,999
69,retired,married,basic.4y,no,yes,yes,Cell,3,999
54,admin.,married,high.school,no,yes,no,Cell,2,999
34,blue-collar,married,basic.9y,no,no,no,Telephone,2,999
29,self-employed,married,university.degree,no,no,no,Cell,2,999
34,technician,single,professional.course,no,unknown,yes,Telephone,3,999
41,blue-collar,married,basic.9y,no,unknown,no,Telephone,2,999
56,admin.,single,basic.9y,no,no,yes,Cell,8,999
52,blue-collar,married,basic.9y,no,yes,yes,Telephone,2,999
47,blue-collar,married,basic.4y,no,unknown,no,Telephone,1,999
35,services,married,high.school,no,unknown,no,Cell,4,999
42,admin.,married,university.degree,no,unknown,no,Cell,8,999
38,blue-collar,married,basic.9y,no,unknown,no,Cell,1,999
38,blue-collar,single,basic.6y,no,yes,no,Telephone,3,999
30,technician,married,university.degree,no,unknown,no,Telephone,1,999
51,admin.,married,high.school,no,unknown,no,Cell,7,999
42,services,married,high.school,no,yes,no,Cell,1,999
37,blue-collar,single,basic.9y,no,no,no,Telephone,1,999
32,housemaid,married,basic.4y,no,unknown,no,Cell,4,999
48,housemaid,married,basic.4y,no,yes,no,Cell,1,999
42,technician,single,high.school,no,unknown,no,Telephone,1,999
42,admin.,married,basic.4y,no,no,no,Telephone,7,999
29,admin.,single,university.degree,no,unknown,no,Telephone,1,999
72,retired,divorced,basic.4y,no,unknown,yes,Cell,2,999
36,unemployed,married,basic.9y,no,unknown,no,Cell,1,999
56,admin.,married,basic.9y,no,yes,yes,Cell,4,999
36,admin.,married,basic.4y,no,unknown,no,Cell,2,999
31,entrepreneur,married,basic.9y,no,unknown,no,Telephone,2,999
22,student,single,high.school,no,unknown,no,Telephone,1,999
33,technician,married,high.school,no,unknown,no,Cell,2,999
50,admin.,divorced,university.degree,no,unknown,no,Cell,3,999
30,services,married,high.school,no,no,no,Cell,3,999
35,services,single,high.school,no,no,no,Cell,1,999
39,technician,married,professional.course,no,no,unknown,Telephone,3,999
44,admin.,married,university.degree,no,yes,no,Cell,4,999
27,services,single,university.degree,no,unknown,no,Cell,6,999
52,technician,married,basic.9y,no,no,no,Cell,7,999
46,blue-collar,married,basic.4y,no,unknown,no,Cell,1,999
51,management,married,university.degree,no,unknown,unknown,Cell,1,999
33,management,single,university.degree,no,unknown,unknown,Telephone,1,999
51,admin.,single,university.degree,no,unknown,yes,Cell,2,999
32,services,married,high.school,no,yes,no,Telephone,1,999
29,admin.,single,university.degree,no,unknown,no,Cell,2,999
29,services,married,high.school,no,unknown,no,Cell,1,999
42,unemployed,married,basic.4y,no,unknown,no,Telephone,6,999
27,services,single,high.school,no,yes,no,Telephone,3,999
55,blue-collar,married,basic.4y,no,no,yes,Cell,2,999
32,entrepreneur,divorced,university.degree,no,no,no,Cell,1,999
47,technician,married,professional.course,no,yes,yes,Cell,4,999
32,admin.,single,university.degree,no,unknown,no,Telephone,2,999
40,blue-collar,married,basic.6y,no,unknown,no,Telephone,2,999
48,blue-collar,married,basic.4y,no,unknown,no,Cell,2,999
41,blue-collar,married,high.school,no,unknown,yes,Cell,3,999
31,unemployed,single,professional.course,no,unknown,no,Telephone,1,999
30,admin.,single,university.degree,no,yes,no,Cell,3,999
32,services,married,high.school,no,yes,yes,Cell,6,999
43,admin.,married,high.school,no,yes,unknown,Cell,1,6
58,blue-collar,married,university.degree,no,yes,no,Cell,4,999
59,management,married,basic.6y,no,unknown,no,Telephone,16,999
36,blue-collar,married,high.school,no,yes,no,Telephone,1,999
42,services,married,professional.course,no,unknown,no,Telephone,1,999
36,housemaid,married,basic.4y,no,yes,no,Cell,2,999
29,blue-collar,single,high.school,no,unknown,no,Telephone,2,999
36,admin.,married,university.degree,no,unknown,no,Cell,2,999
36,blue-collar,single,university.degree,no,unknown,no,Telephone,2,999
37,admin.,single,high.school,no,unknown,no,Telephone,1,999
50,entrepreneur,married,basic.9y,no,unknown,no,Telephone,1,999
40,unemployed,divorced,basic.4y,no,no,no,Cell,1,999
39,technician,married,university.degree,no,yes,no,Cell,1,999
48,blue-collar,married,basic.4y,no,yes,yes,Cell,1,999
34,admin.,married,university.degree,no,unknown,no,Telephone,1,999
35,self-employed,married,university.degree,no,unknown,yes,Telephone,6,999
33,services,married,professional.course,no,unknown,no,Cell,2,999
56,blue-collar,married,basic.4y,no,unknown,no,Cell,1,6
70,admin.,divorced,university.degree,no,unknown,no,Cell,4,999
47,blue-collar,married,basic.9y,no,no,no,Cell,1,999
39,self-employed,single,basic.9y,no,unknown,no,Cell,1,999
28,admin.,married,high.school,no,yes,no,Cell,1,999
33,blue-collar,single,basic.4y,no,yes,no,Cell,3,999
32,self-employed,married,basic.9y,no,unknown,no,Cell,2,999
30,unemployed,single,basic.9y,no,no,no,Telephone,10,999
45,management,married,university.degree,no,no,no,Cell,2,999
31,blue-collar,single,high.school,no,yes,no,Telephone,3,999
26,self-employed,single,university.degree,no,no,unknown,Cell,1,3
55,technician,married,university.degree,no,unknown,no,Telephone,1,999
47,blue-collar,married,basic.9y,no,unknown,no,Telephone,1,999
39,blue-collar,married,basic.6y,no,unknown,no,Telephone,6,999
58,management,married,university.degree,no,yes,no,Cell,1,999
54,management,married,university.degree,no,yes,unknown,Cell,1,999
36,blue-collar,married,university.degree,no,unknown,no,Cell,1,999
59,admin.,divorced,high.school,no,unknown,yes,Cell,3,999
52,technician,married,professional.course,no,unknown,no,Telephone,4,999
45,management,married,university.degree,no,unknown,no,Cell,1,999
25,blue-collar,single,basic.9y,no,unknown,no,Cell,1,999
56,blue-collar,married,basic.4y,no,yes,no,Cell,5,999
30,services,married,professional.course,no,no,no,Cell,1,999
38,technician,married,high.school,no,yes,no,Cell,6,999
35,blue-collar,married,basic.4y,no,yes,no,Telephone,2,999
42,technician,married,high.school,no,unknown,no,Cell,1,999
56,self-employed,married,professional.course,no,unknown,unknown,Telephone,40,999
30,admin.,married,university.degree,no,unknown,no,Cell,3,999
39,admin.,single,university.degree,no,no,no,Cell,4,999
50,management,married,university.degree,no,unknown,no,Cell,2,999
29,blue-collar,married,basic.9y,no,unknown,no,Telephone,2,999
30,admin.,married,university.degree,no,unknown,no,Cell,3,999
28,blue-collar,married,high.school,no,unknown,yes,Cell,2,999
36,technician,married,high.school,no,no,no,Cell,5,999
32,self-employed,single,professional.course,no,yes,no,Cell,7,999
37,self-employed,married,professional.course,no,yes,yes,Telephone,1,999
53,admin.,divorced,university.degree,no,unknown,no,Telephone,15,999
43,services,married,high.school,no,unknown,no,Cell,19,999
50,technician,married,professional.course,no,no,no,Telephone,1,999
38,management,married,university.degree,no,unknown,no,Telephone,1,999
24,retired,married,high.school,no,unknown,no,Cell,1,999
49,admin.,single,basic.9y,no,unknown,yes,Cell,2,999
43,management,married,university.degree,no,unknown,no,Telephone,5,999
28,technician,single,professional.course,no,unknown,no,Cell,2,3
35,technician,single,university.degree,no,unknown,no,Cell,1,999
26,entrepreneur,married,high.school,no,unknown,no,Cell,1,999
50,services,married,high.school,no,unknown,yes,Telephone,6,999
43,blue-collar,married,basic.4y,no,no,no,Telephone,3,999
25,blue-collar,single,high.school,no,unknown,no,Cell,1,999
34,unemployed,married,basic.9y,no,unknown,unknown,Cell,1,999
39,admin.,married,basic.9y,no,unknown,no,Telephone,1,999
56,blue-collar,married,basic.4y,no,no,no,Telephone,1,999
47,housemaid,married,basic.9y,no,unknown,no,Cell,1,999
41,management,married,university.degree,no,unknown,no,Telephone,7,999
43,technician,single,professional.course,no,unknown,no,Telephone,6,999
32,admin.,single,university.degree,no,unknown,no,Cell,5,999
35,blue-collar,single,basic.6y,no,unknown,unknown,Telephone,2,999
57,blue-collar,married,basic.4y,no,unknown,no,Telephone,5,999
45,blue-collar,married,basic.4y,no,yes,no,Telephone,1,999
39,student,single,university.degree,no,unknown,no,Telephone,6,999
28,admin.,married,university.degree,no,yes,no,Cell,1,999
45,technician,married,university.degree,no,unknown,no,Cell,1,999
39,admin.,married,university.degree,no,yes,unknown,Cell,7,999
43,technician,married,professional.course,no,no,unknown,Telephone,1,999
45,blue-collar,married,basic.4y,no,yes,unknown,Telephone,2,999
26,services,single,high.school,no,no,no,Cell,2,999
54,technician,married,professional.course,no,no,yes,Cell,1,999
20,student,single,high.school,no,unknown,no,Cell,2,999
35,admin.,married,university.degree,no,unknown,no,Telephone,1,999
32,blue-collar,married,basic.9y,no,yes,unknown,Cell,11,999
28,admin.,single,high.school,no,unknown,no,Cell,1,999
46,entrepreneur,married,university.degree,no,unknown,yes,Telephone,4,999
39,admin.,married,university.degree,no,unknown,no,Cell,3,999
33,admin.,single,high.school,no,yes,no,Cell,1,999
31,management,single,university.degree,no,no,no,Cell,1,999
30,self-employed,married,professional.course,no,yes,no,Cell,2,999
36,services,single,basic.6y,no,unknown,yes,Telephone,2,999
44,blue-collar,divorced,basic.6y,no,unknown,no,Cell,3,999
30,admin.,single,basic.9y,no,unknown,no,Telephone,1,999
36,housemaid,married,high.school,no,unknown,no,Telephone,11,999
39,services,married,university.degree,no,no,no,Cell,5,999
34,admin.,single,university.degree,no,unknown,no,Cell,2,999
27,student,single,university.degree,no,unknown,unknown,Cell,1,999
29,technician,married,professional.course,no,no,no,Cell,2,999
33,technician,married,professional.course,no,unknown,yes,Cell,6,999
44,blue-collar,married,basic.4y,no,unknown,no,Cell,2,999
38,services,single,high.school,no,yes,no,Telephone,3,999
29,services,single,high.school,no,unknown,yes,Telephone,2,999
37,technician,divorced,professional.course,no,unknown,no,Cell,1,999
55,entrepreneur,divorced,university.degree,no,unknown,no,Cell,5,999
46,admin.,married,university.degree,no,yes,no,Cell,3,999
54,retired,divorced,basic.4y,no,yes,no,Telephone,2,999
57,management,married,high.school,no,unknown,no,Cell,2,999
26,services,single,high.school,no,yes,yes,Telephone,3,999
29,blue-collar,single,basic.9y,no,unknown,no,Cell,13,999
51,technician,married,professional.course,no,no,no,Telephone,32,999
40,services,married,high.school,no,yes,unknown,Telephone,2,999
29,unemployed,married,basic.4y,no,unknown,unknown,Cell,1,999
38,blue-collar,married,basic.6y,no,unknown,no,Telephone,2,999
39,housemaid,divorced,basic.9y,no,unknown,no,Telephone,2,999
31,management,married,university.degree,no,unknown,no,Cell,6,999
36,blue-collar,married,high.school,no,unknown,no,Cell,1,999
38,entrepreneur,married,basic.9y,no,no,no,Telephone,1,999
30,self-employed,single,university.degree,no,no,unknown,Cell,1,999
33,blue-collar,single,basic.9y,no,unknown,no,Cell,2,999
31,management,single,university.degree,no,no,no,Cell,2,999
53,technician,married,high.school,no,unknown,no,Cell,6,999
56,housemaid,divorced,high.school,no,no,no,Telephone,2,999
44,blue-collar,married,basic.6y,no,yes,yes,Telephone,7,999
41,admin.,married,basic.6y,no,no,no,Telephone,2,999
32,admin.,divorced,high.school,no,unknown,no,Cell,1,999
58,services,married,basic.4y,no,no,no,Telephone,1,999
37,technician,single,high.school,no,unknown,no,Telephone,3,999
34,self-employed,married,basic.9y,no,unknown,unknown,Telephone,1,999
33,management,married,basic.9y,no,unknown,no,Cell,3,999
44,blue-collar,single,basic.9y,no,no,no,Telephone,1,999
34,services,married,high.school,no,no,no,Telephone,5,999
45,blue-collar,married,basic.4y,no,unknown,no,Cell,2,999
36,admin.,married,university.degree,no,unknown,no,Cell,2,999
49,admin.,single,high.school,no,unknown,no,Telephone,2,999
39,management,married,university.degree,no,unknown,unknown,Telephone,3,999
44,management,married,university.degree,no,unknown,unknown,Telephone,1,999
36,retired,married,university.degree,no,unknown,unknown,Telephone,3,999
35,blue-collar,married,basic.6y,no,unknown,no,Telephone,3,999
38,technician,married,professional.course,no,yes,no,Cell,1,999
32,technician,married,university.degree,no,unknown,yes,Cell,1,999
39,self-employed,married,basic.9y,no,unknown,no,Telephone,2,999
47,admin.,married,university.degree,no,no,yes,Telephone,5,999
21,admin.,single,high.school,no,unknown,no,Cell,1,999
48,blue-collar,married,basic.4y,no,unknown,no,Cell,1,999
29,entrepreneur,single,high.school,no,unknown,no,Cell,1,999
31,admin.,single,university.degree,no,yes,no,Telephone,1,999
41,blue-collar,married,professional.course,no,unknown,no,Cell,1,999
41,blue-collar,married,high.school,no,unknown,no,Telephone,1,999
38,management,married,university.degree,no,unknown,no,Cell,2,999
32,admin.,single,basic.6y,no,yes,no,Telephone,2,999
27,admin.,single,high.school,no,unknown,no,Cell,6,999
32,services,married,basic.9y,no,unknown,unknown,Telephone,3,999
42,blue-collar,married,basic.4y,no,unknown,no,Cell,3,999
30,services,married,high.school,no,yes,no,Telephone,7,999
25,blue-collar,married,high.school,no,unknown,no,Cell,1,999
61,retired,married,basic.4y,no,yes,yes,Cell,1,999
59,housemaid,married,basic.4y,no,unknown,no,Cell,2,999
26,technician,single,professional.course,no,unknown,no,Cell,1,999
33,blue-collar,single,high.school,no,unknown,no,Cell,10,999
26,services,divorced,professional.course,no,unknown,unknown,Telephone,1,999
56,admin.,married,basic.9y,no,unknown,no,Cell,1,999
46,blue-collar,married,basic.9y,no,yes,unknown,Cell,1,999
40,admin.,single,high.school,no,unknown,yes,Telephone,1,999
30,services,single,university.degree,no,unknown,no,Telephone,1,999
50,blue-collar,married,basic.9y,no,yes,no,Cell,4,999
48,admin.,divorced,high.school,no,unknown,yes,Cell,1,999
34,technician,single,professional.course,no,yes,no,Cell,1,999
49,technician,divorced,basic.4y,no,yes,no,Cell,1,4
33,blue-collar,married,basic.9y,no,unknown,no,Telephone,2,999
34,technician,married,professional.course,no,no,no,Telephone,2,999
47,services,married,high.school,no,unknown,no,Telephone,1,999
39,blue-collar,married,basic.9y,no,yes,unknown,Cell,5,999
57,self-employed,married,university.degree,no,unknown,no,Cell,3,999
33,admin.,married,high.school,no,unknown,no,Telephone,1,999
41,technician,married,professional.course,no,no,yes,Telephone,2,999
38,entrepreneur,married,basic.9y,no,yes,no,Cell,1,999
47,blue-collar,divorced,basic.9y,no,yes,no,Cell,1,999
37,blue-collar,married,high.school,no,no,no,Telephone,2,999
66,retired,married,basic.4y,no,yes,no,Cell,1,6
40,technician,single,university.degree,no,unknown,yes,Cell,2,999
58,services,married,high.school,no,yes,yes,Telephone,13,999
32,management,married,basic.4y,no,unknown,yes,Telephone,1,999
55,admin.,married,high.school,no,unknown,no,Cell,5,999
32,blue-collar,married,basic.6y,no,unknown,no,Telephone,1,999
34,retired,married,high.school,no,yes,unknown,Cell,1,999
34,blue-collar,married,basic.4y,no,no,no,Telephone,5,999
42,entrepreneur,married,basic.9y,no,yes,no,Cell,4,999
30,services,married,high.school,no,unknown,no,Telephone,1,999
40,housemaid,single,university.degree,no,unknown,no,Telephone,2,999
32,self-employed,single,high.school,no,unknown,no,Telephone,1,999
29,admin.,single,university.degree,no,unknown,no,Cell,1,999
34,services,single,high.school,no,unknown,yes,Cell,2,999
37,services,married,high.school,no,unknown,no,Telephone,2,999
42,admin.,married,university.degree,no,yes,no,Cell,4,999
24,services,single,high.school,no,no,no,Cell,4,999
57,blue-collar,married,university.degree,no,unknown,no,Cell,5,999
45,blue-collar,married,basic.6y,no,yes,no,Cell,1,999
35,blue-collar,single,basic.6y,no,yes,no,Telephone,3,999
54,blue-collar,married,illiterate,no,yes,yes,Cell,1,999
84,blue-collar,divorced,basic.6y,no,unknown,yes,Cell,1,999
55,admin.,married,high.school,no,unknown,no,Cell,1,999
31,technician,married,professional.course,no,unknown,no,Telephone,1,999
47,entrepreneur,married,university.degree,no,unknown,no,Telephone,1,999
39,housemaid,married,basic.4y,no,unknown,yes,Cell,1,999
29,technician,married,professional.course,no,no,no,Cell,5,999
35,services,single,high.school,no,unknown,no,Cell,4,999
38,management,married,basic.6y,no,yes,unknown,Telephone,3,999
45,admin.,married,basic.9y,no,unknown,no,Cell,1,999
39,blue-collar,married,basic.6y,no,no,no,Telephone,1,999
53,unemployed,married,basic.9y,no,unknown,no,Cell,2,999
43,technician,single,professional.course,no,unknown,no,Telephone,1,999
29,management,single,university.degree,no,unknown,no,Cell,1,999
23,admin.,single,professional.course,no,unknown,no,Cell,2,999
27,admin.,single,high.school,no,unknown,no,Telephone,3,999
27,admin.,single,high.school,no,unknown,no,Cell,1,999
32,admin.,married,university.degree,no,unknown,no,Cell,2,999
45,self-employed,divorced,university.degree,no,no,unknown,Cell,1,999
38,blue-collar,married,basic.6y,no,yes,no,Cell,9,999
47,technician,married,professional.course,no,unknown,no,Telephone,2,999
41,self-employed,married,university.degree,no,unknown,no,Cell,3,999
43,retired,married,basic.9y,no,yes,no,Cell,3,999
34,admin.,divorced,high.school,no,no,no,Cell,3,999
60,services,married,high.school,no,unknown,no,Telephone,3,999
